日期,渠道名称,渠道CODE,游戏名称,游戏ID,游戏收入,运营商来源,下载用户数（本平台）,启动用户数,付费用户数,付费启动转化率,ARPU,ARPPU
20200401,聚沙渠道,,PopStar!消灭星星2,10001847,0,移动,0,2,0,0.00%,0,0
20200401,聚沙渠道,,PopStar!消灭星星2,10001847,0,联通,0,1,0,0.00%,0,0
20200401,聚沙渠道,,消灭星星全新版,12912,0,电信,0,13,0,0.00%,0,0
20200401,聚沙渠道,,消灭星星全新版,12912,0,移动,0,10,0,0.00%,0,0
20200401,聚沙渠道,,消灭星星全新版,12912,0,联通,0,2,0,0.00%,0,0
20200401,聚沙渠道,,消灭星星中文版,5015173,0,电信,0,8,0,0.00%,0,0
20200401,聚沙渠道,,消灭星星中文版,5015173,0,移动,0,51,0,0.00%,0,0
20200401,聚沙渠道,,僵尸尖叫,5022331,0,电信,0,2,0,0.00%,0,0
20200401,聚沙渠道,,僵尸尖叫,5022331,0,移动,0,4,0,0.00%,0,0
20200401,聚沙渠道,,僵尸尖叫,5022331,0,联通,0,2,0,0.00%,0,0
20200401,聚沙渠道,,PopStar消灭星星2社交版,5024369,0,联通,0,1,0,0.00%,0,0
20200401,聚沙渠道,,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200401,聚沙渠道,,哔哔弹,5097519,0,移动,0,2,0,0.00%,0,0
20200401,爱游戏客户端,10000000,消灭星星全新版,10000895,0,电信,0,11086,0,0.00%,0,0
20200401,爱游戏客户端,10000000,PopStar!消灭星星2,10001847,0,电信,0,1,0,0.00%,0,0
20200401,爱游戏客户端,10000000,PopStar!消灭星星2,10001847,0,移动,0,2,0,0.00%,0,0
20200401,爱游戏客户端,10000000,PopStar!消灭星星2,10001847,0,联通,0,1,0,0.00%,0,0
20200401,爱游戏客户端,10000000,消灭星星全新版,12912,0,电信,0,60,0,0.00%,0,0
20200401,爱游戏客户端,10000000,消灭星星全新版,12912,0,移动,0,74,0,0.00%,0,0
20200401,爱游戏客户端,10000000,消灭星星全新版,12912,0,联通,0,16,0,0.00%,0,0
20200401,爱游戏客户端,10000000,消灭星星中文版,5015173,0,移动,0,1,0,0.00%,0,0
20200401,爱游戏客户端,10000000,僵尸尖叫,5022331,0,电信,0,2,0,0.00%,0,0
20200401,爱游戏客户端,10000000,PopStar消灭星星2社交版,5024369,0,移动,0,2,0,0.00%,0,0
20200401,爱游戏客户端,10000000,PopStar消灭星星2社交版,5024639,0,电信,0,2,0,0.00%,0,0
20200401,爱游戏客户端,10000000,点我+1,5054861,0,电信,0,1,0,0.00%,0,0
20200401,爱游戏客户端,10000000,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200401,爱游戏客户端,10000000,哔哔弹,5097519,0,移动,0,1,0,0.00%,0,0
20200401,爱游戏客户端,10000000,哔哔弹,5097519,0,联通,0,1,0,0.00%,0,0
20200401,爱游戏客户端,10000000,长腿爸爸,5102711,0,电信,0,1,0,0.00%,0,0
20200401,华为智汇云,80001002,消灭星星全新版,10000895,0,电信,0,40,0,0.00%,0,0
20200401,华为智汇云,80001002,消灭星星中文版,5013515,0,电信,0,1,0,0.00%,0,0
20200401,华为智汇云,80001002,消灭星星中文版,5015173,0,电信,0,12,0,0.00%,0,0
20200401,安智市场,80001005,消灭星星全新版,10000895,0,电信,0,86,0,0.00%,0,0
20200401,豌豆荚,80001013,消灭星星全新版,10000895,0,电信,0,54,0,0.00%,0,0
20200401,豌豆荚,80001013,僵尸尖叫,5022331,0,电信,0,12,0,0.00%,0,0
20200401,搜狐应用中心,80001016,消灭星星全新版,10000895,0,电信,0,1,0,0.00%,0,0
20200401,酷派应用商店,80001017,消灭星星全新版,10000895,30,电信,0,30,1,3.33%,1,30
20200401,悠悠村,80001018,消灭星星全新版,10000895,0,电信,0,2,0,0.00%,0,0
20200401,应用汇,80001020,消灭星星全新版,10000895,0,电信,0,14,0,0.00%,0,0
20200401,应用汇,80001020,僵尸尖叫,5022331,0,电信,0,3,0,0.00%,0,0
20200401,小米,80001021,消灭星星全新版,10000895,159,电信,0,6739,5,0.07%,0.02,31.8
20200401,小米,80001021,PopStar!消灭星星2,5003053,0,电信,0,2,0,0.00%,0,0
20200401,小米,80001021,僵尸尖叫,5022331,0,电信,0,19,0,0.00%,0,0
20200401,小米,80001021,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200401,联想应用商店,80001024,消灭星星全新版,10000895,0,电信,0,133,0,0.00%,0,0
20200401,联想应用商店,80001024,消灭星星中文版,5015173,0,电信,0,2,0,0.00%,0,0
20200401,联想应用商店,80001024,僵尸尖叫,5022331,0,电信,0,1,0,0.00%,0,0
20200401,联想应用商店,80001024,点我+1,5054861,0,电信,0,1,0,0.00%,0,0
20200401,聚乐,80001026,僵尸尖叫,5022331,0,电信,0,1,0,0.00%,0,0
20200401,拇指玩,80010079,点我+1,5054861,0,电信,0,1,0,0.00%,0,0
20200401,拇指玩,80010079,哔哔弹,5097519,0,电信,0,2,0,0.00%,0,0
20200401,百度手机助手,80010082,PopStar！消灭星星（多酷版）,10001262,0,电信,0,1,0,0.00%,0,0
20200401,百度手机助手,80010082,PopStar!消灭星星2,5003053,0,电信,0,1,0,0.00%,0,0
20200401,百度手机助手,80010082,消灭星星中文版,5015173,0,电信,0,16,0,0.00%,0,0
20200401,百度手机助手,80010082,僵尸尖叫,5022331,61,电信,0,142,2,1.41%,0.43,30.5
20200401,百度手机助手,80010082,僵尸尖叫,5024281,0,电信,0,6,0,0.00%,0,0
20200401,百度手机助手,80010082,点我+1,5054861,0,电信,0,2,0,0.00%,0,0
20200401,百度手机助手,80010082,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200401,4399,80010088,消灭星星全新版,10000895,0,电信,0,54,0,0.00%,0,0
20200401,4399,80010088,消灭星星中文版,5013515,0,电信,0,1,0,0.00%,0,0
20200401,4399,80010088,僵尸尖叫,5022331,29,电信,0,109,1,0.92%,0.27,29
20200401,4399,80010088,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200401,掌游天下,80010130,消灭星星全新版,10000895,0,电信,0,309,0,0.00%,0,0
20200401,掌游天下,80010130,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200401,OPPO,80010141,消灭星星全新版,10000895,10,电信,0,21505,1,0.00%,0,10
20200401,OPPO,80010141,PopStar!消灭星星2,5003053,0,电信,0,2,0,0.00%,0,0
20200401,OPPO,80010141,消灭星星中文版,5013515,0,电信,0,8,0,0.00%,0,0
20200401,OPPO,80010141,消灭星星中文版,5015173,0,电信,0,405,0,0.00%,0,0
20200401,OPPO,80010141,僵尸尖叫,5022331,0,电信,0,3,0,0.00%,0,0
20200401,OPPO,80010141,点我+1,5054861,0,电信,0,1,0,0.00%,0,0
20200401,OPPO,80010141,哔哔弹,5097519,0,电信,0,4,0,0.00%,0,0
20200401,91手机助手（百度）,80010142,消灭星星中文版,5015173,0,电信,0,2,0,0.00%,0,0
20200401,成都当乐,80010160,消灭星星全新版,10000895,0,电信,0,1,0,0.00%,0,0
20200401,柠檬助手,80010201,消灭星星全新版,10000895,0,电信,0,2,0,0.00%,0,0
20200401,柠檬助手,80010201,消灭星星中文版,5015173,0,电信,0,2,0,0.00%,0,0
20200401,腾讯QQ浏览器,80010226,消灭星星全新版,10000895,0,电信,0,34,0,0.00%,0,0
20200401,腾讯QQ浏览器,80010226,消灭星星中文版,5015173,0,电信,0,1,0,0.00%,0,0
20200401,金立游戏大厅,80010281,消灭星星全新版,10000895,10,电信,0,39,1,2.56%,0.26,10
20200401,卓易市场,80010366,消灭星星全新版,10000895,0,电信,0,10,0,0.00%,0,0
20200401,卓易市场,80010366,消灭星星中文版,5015173,0,电信,0,12,0,0.00%,0,0
20200401,2345手机助手,80010378,消灭星星全新版,10000895,0,电信,0,1,0,0.00%,0,0
20200401,微米,80010466,消灭星星中文版,5015173,0,电信,0,1,0,0.00%,0,0
20200401,三星,80011042,消灭星星全新版,10000895,29,电信,0,173,1,0.58%,0.17,29
20200401,三星,80011042,消灭星星中文版,5015173,0,电信,0,19,0,0.00%,0,0
20200401,阿里巴巴·九游推广渠道,80011044,消灭星星全新版,10000895,0,电信,0,6,0,0.00%,0,0
20200401,阿里巴巴·九游推广渠道,80011044,哔哔弹,5097519,0,电信,0,2,0,0.00%,0,0
20200401,搜狗,80011045,消灭星星全新版,10000895,0,电信,0,152,0,0.00%,0,0
20200401,搜狗,80011045,消灭星星中文版,5015173,0,电信,0,4,0,0.00%,0,0
20200401,搜狗,80011045,僵尸尖叫,5022331,0,电信,0,4,0,0.00%,0,0
20200401,搜狗,80011045,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200401,360手机助手,80011046,消灭星星全新版,10000895,0,电信,0,571,0,0.00%,0,0
20200401,360手机助手,80011046,消灭星星中文版,5015173,0,电信,0,59,0,0.00%,0,0
20200401,360手机助手,80011046,消灭星星中文版,5015173,0,移动,0,6,0,0.00%,0,0
20200401,360手机助手,80011046,僵尸尖叫,5022331,0,电信,0,24,0,0.00%,0,0
20200401,腾讯应用宝,80011049,消灭星星全新版,10000895,0,电信,0,104,0,0.00%,0,0
20200401,腾讯应用宝,80011049,消灭星星中文版,5015173,0,电信,0,42,0,0.00%,0,0
20200401,腾讯应用宝,80011049,僵尸尖叫,5022331,0,电信,0,2,0,0.00%,0,0
20200401,腾讯应用宝,80011049,全民消灭星星,5032507,0,电信,0,2,0,0.00%,0,0
20200401,腾讯应用宝,80011049,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200401,金立,80011117,消灭星星全新版,10000895,0,电信,0,214,0,0.00%,0,0
20200401,腾讯华为内置游戏中心,80011148,消灭星星全新版,10000895,0,电信,0,3,0,0.00%,0,0
20200401,步步高,80020136,消灭星星全新版,10000895,0,电信,0,1,0,0.00%,0,0
20200401,步步高,80020136,消灭星星中文版,5013515,0,电信,0,3,0,0.00%,0,0
20200401,步步高,80020136,点我+1,5054861,0,电信,0,1,0,0.00%,0,0
20200401,腾讯华为内置应用市场,80020230,消灭星星全新版,10000895,0,电信,0,2,0,0.00%,0,0
20200401,魅族手机,80020320,消灭星星全新版,10000895,0,电信,0,824,0,0.00%,0,0
20200401,魅族手机,80020320,僵尸尖叫,5022331,2,电信,0,123,1,0.81%,0.02,2
20200401,上海青橙,80020533,消灭星星全新版,10000895,0,电信,0,27,0,0.00%,0,0
20200401,华为智汇云,83010007,消灭星星全新版,10000895,20,电信,0,22820,1,0.00%,0,20
20200401,华为智汇云,83010007,消灭星星中文版,5015173,0,电信,0,2349,0,0.00%,0,0
20200401,华为智汇云,83010007,僵尸尖叫,5022331,141,电信,0,361,3,0.83%,0.39,47
20200401,OPPO,83010008,僵尸尖叫,5022331,0,电信,0,29,0,0.00%,0,0
20200401,小米,83010009,消灭星星中文版,5015173,0,电信,0,7,0,0.00%,0,0
20200401,步步高,83010010,消灭星星全新版,10000895,91,电信,0,31055,6,0.02%,0,15.17
20200401,步步高,83010010,消灭星星中文版,5015173,0,电信,0,23,0,0.00%,0,0
20200401,步步高,83010010,僵尸尖叫,5022331,9,电信,0,36,1,2.78%,0.25,9
20200401,步步高,83010010,哔哔弹,5097519,0,电信,0,1,0,0.00%,0,0
20200401,腾讯应用宝,83010011,消灭星星全新版,10000895,45,电信,0,2548,3,0.12%,0.02,15
20200401,腾讯应用宝,83010011,僵尸尖叫,5022331,206,电信,0,594,5,0.84%,0.35,41.2
20200401,安智市场,83010014,僵尸尖叫,5022331,0,电信,0,13,0,0.00%,0,0
20200401,金立游戏大厅,83010020,消灭星星全新版,10000895,0,电信,0,55,0,0.00%,0,0
20200401,金立游戏大厅,83010020,僵尸尖叫,5022331,0,电信,0,1,0,0.00%,0,0
20200401,阿里巴巴·九游推广渠道,83010023,消灭星星全新版,10000895,6,电信,0,319,1,0.31%,0.02,6
20200401,阿里巴巴·九游推广渠道,83010023,僵尸尖叫,5022331,0,电信,0,45,0,0.00%,0,0
20200401,柠檬助手,83010029,消灭星星全新版,10000895,0,电信,0,18,0,0.00%,0,0
20200401,2345手机助手,83010042,消灭星星全新版,10000895,0,电信,0,375,0,0.00%,0,0
20200401,腾讯QQ浏览器,83010052,消灭星星全新版,10000895,0,电信,0,83,0,0.00%,0,0
20200401,腾讯QQ浏览器,83010052,僵尸尖叫,5022331,0,电信,0,17,0,0.00%,0,0
20200401,拇指玩,83010063,消灭星星全新版,10000895,0,电信,0,7,0,0.00%,0,0
