序号,日期,游戏ID,游戏名称,包月产品名称,包月金额,渠道ID,渠道名称,首订用户数,续订用户数,退订用户数,出账用户数,出账金额
1,20200401,93578,消灭星星全新版,星星豪华大礼包,10,80001017,酷派应用商店,0,0,0,1,10.0
2,20200401,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,0,0,3,30.0
3,20200401,93578,消灭星星全新版,星星豪华大礼包,10,80010130,掌游天下,0,0,0,1,10.0
4,20200401,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,0,0,1,10.0
5,20200401,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,0,0,66,660.0
6,20200401,93578,消灭星星全新版,星星豪华大礼包,10,,,0,0,0,0,0.0
7,20200401,,,星星豪华大礼包,10,,,0,0,0,65,650.0
8,20200401,93578,消灭星星全新版,星星豪华大礼包,10,83010020,金立游戏大厅,0,0,0,1,10.0
9,20200401,93578,消灭星星全新版,星星豪华大礼包,10,83120102,腾讯手机管家,0,0,0,1,10.0
10,20200401,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,0,0,11,110.0
11,20200401,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,1,1,24,240.0
12,20200401,93578,消灭星星全新版,星星豪华大礼包,10,83010029,柠檬助手,0,0,0,1,10.0
13,20200401,93578,消灭星星全新版,星星豪华大礼包,10,80001013,豌豆荚,0,0,0,1,10.0
14,20200401,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,0,1,29,290.0
15,20200401,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,0,0,2,20.0
16,20200401,93578,消灭星星全新版,星星豪华大礼包,10,80011049,腾讯应用宝,0,0,0,9,90.0
17,20200402,93578,消灭星星全新版,星星豪华大礼包,10,83010042,2345手机助手,0,0,0,1,10.0
18,20200402,93578,消灭星星全新版,星星豪华大礼包,10,83010011,腾讯应用宝,0,3,0,2,20.0
19,20200402,93578,消灭星星全新版,星星豪华大礼包,10,80020320,魅族手机,0,1,0,1,10.0
20,20200402,,,星星豪华大礼包,10,,,0,0,0,3,30.0
21,20200402,93578,消灭星星全新版,星星豪华大礼包,10,83010010,步步高,0,24,0,21,210.0
22,20200402,93578,消灭星星全新版,星星豪华大礼包,10,80011045,搜狗,0,0,0,1,10.0
23,20200402,93578,消灭星星全新版,星星豪华大礼包,10,80010141,OPPO,0,29,1,30,300.0
24,20200402,93578,消灭星星全新版,星星豪华大礼包,10,83010020,金立游戏大厅,0,1,0,0,0.0
25,20200402,93578,消灭星星全新版,星星豪华大礼包,10,80011042,三星,0,0,0,1,10.0
26,20200402,93578,消灭星星全新版,星星豪华大礼包,10,83010007,华为智汇云,0,65,1,73,730.0
27,20200402,93578,消灭星星全新版,星星豪华大礼包,10,80011046,360手机助手,0,2,0,0,0.0
28,20200402,93578,消灭星星全新版,星星豪华大礼包,10,80001021,小米,0,11,0,6,60.0
29,20200402,93578,消灭星星全新版,星星豪华大礼包,10,80010088,4399,0,0,0,1,10.0
30,20200402,93578,消灭星星全新版,星星豪华大礼包,10,80010130,掌游天下,0,1,0,4,40.0
31,20200402,93578,消灭星星全新版,星星豪华大礼包,10,83010029,柠檬助手,0,1,0,0,0.0
