日期,应用,新增用户,活跃用户,广告请求成功数,广告展示数,广告点击数,广告流水,广告收入,推广成本,毛利润
2019-07-30,BB弹2,0,0,288,1223,21,1550.85,1550.85,0.00,1550.85
2019-07-29,BB弹2,0,0,1863,2977,28,1421.84,1421.84,234.93,1186.91
2019-07-28,BB弹2,0,0,1641,2566,26,1120.17,1120.17,288.48,831.69
2019-07-27,BB弹2,578,0,1947,3212,13,1979.64,1979.64,1149.19,830.45
2019-07-26,BB弹2,0,0,1753,2836,30,2104.62,2104.62,621.52,1483.10
2019-07-25,BB弹2,0,0,1485,2246,37,2171.03,2171.03,284.32,1886.71
2019-07-24,BB弹2,0,0,1484,2286,29,1526.46,1526.46,545.09,981.37
2019-07-23,BB弹2,0,0,1170,1752,12,1094.52,1094.52,3383.58,-2289.06
2019-07-22,BB弹2,0,0,1459,1176,2,15.54,15.54,7664.05,-7648.51
2019-07-21,BB弹2,0,0,1329,1112,1,6.32,6.32,0.00,6.32
